age,balance,duration,,,,Anova: Single Factor,,,,,,
32,-849,204,,,,,,,,,,
42,2,380,,,,SUMMARY,,,,,,
51,-55,281,,,,Groups,Count,Sum,Average,Variance,,
43,-715,67,,,,age,137,5808,42.39416058,256.1670245,,
45,-249,92,,,,balance,137,79574,580.8321168,2996956.273,,
31,-253,220,,,,duration,137,35359,258.0948905,70839.63064,,
48,20,145,,,,,,,,,,
49,-701,988,,,,,,,,,,
35,32,180,,,,ANOVA,,,,,,
48,-285,157,,,,Source of Variation,SS,df,MS,F,P-value,F crit
38,15,121,,,,Between Groups,20120804.34,2,10060402.17,9.837253674,6.72275E-05,3.017836448
55,-404,502,,,,Within Groups,417255081.6,408,1022684.024,,,
47,2,236,,,,,,,,,,
41,720,651,,,,Total,437375886,410,,,,
37,0,108,,,,,,,,,,
33,280,155,,,,,,,,,,
23,-230,259,,,,,,,,,,
50,421,22,,,,,,,,,,
28,-298,559,,,,,,,,,,
49,-1680,92,,,,,,,,,,
31,25,381,,,,,,,,,,
47,-535,71,,,,,,,,,,
32,5,82,,,,,,,,,,
48,-10,25,,,,,,,,,,
27,-584,411,,,,,,,,,,
40,0,64,,,,,,,,,,
56,1238,1558,,,,,,,,,,
37,375,223,,,,,,,,,,
45,-183,395,,,,,,,,,,
30,4,84,,,,,,,,,,
51,34,200,,,,,,,,,,
56,-435,185,,,,,,,,,,
33,10,167,,,,,,,,,,
39,3,488,,,,,,,,,,
30,-770,87,,,,,,,,,,
43,-1164,76,,,,,,,,,,
39,-183,202,,,,,,,,,,
57,32,476,,,,,,,,,,
32,-18,155,,,,,,,,,,
51,-2082,123,,,,,,,,,,
41,-386,477,,,,,,,,,,
27,-517,172,,,,,,,,,,
53,-200,161,,,,,,,,,,
43,0,73,,,,,,,,,,
25,-589,233,,,,,,,,,,
48,-20,142,,,,,,,,,,
57,25,652,,,,,,,,,,
26,-3,181,,,,,,,,,,
49,-74,114,,,,,,,,,,
37,0,236,,,,,,,,,,
57,195,185,,,,,,,,,,
39,-401,274,,,,,,,,,,
42,66,139,,,,,,,,,,
26,-162,44,,,,,,,,,,
55,-308,781,,,,,,,,,,
33,-305,109,,,,,,,,,,
24,110,27,,,,,,,,,,
30,447,103,,,,,,,,,,
30,35,185,,,,,,,,,,
30,239,412,,,,,,,,,,
44,0,96,,,,,,,,,,
35,0,105,,,,,,,,,,
26,-402,127,,,,,,,,,,
32,4,132,,,,,,,,,,
47,-614,118,,,,,,,,,,
27,0,46,,,,,,,,,,
36,12,587,,,,,,,,,,
51,-55,119,,,,,,,,,,
48,-13,20,,,,,,,,,,
30,1787,79,,,,,,,,,,
35,1350,185,,,,,,,,,,
30,1476,199,,,,,,,,,,
59,0,226,,,,,,,,,,
35,747,141,,,,,,,,,,
36,307,341,,,,,,,,,,
39,147,151,,,,,,,,,,
41,221,57,,,,,,,,,,
43,-88,313,,,,,,,,,,
39,9374,273,,,,,,,,,,
43,264,113,,,,,,,,,,
136,1109,328,,,,,,,,,,
20,502,261,,,,,,,,,,
31,360,89,,,,,,,,,,
40,194,189,,,,,,,,,,
56,4073,239,,,,,,,,,,
37,2317,114,,,,,,,,,,
25,-221,250,,,,,,,,,,
31,132,148,,,,,,,,,,
38,0,96,,,,,,,,,,
42,16,140,,,,,,,,,,
44,106,109,,,,,,,,,,
44,93,125,,,,,,,,,,
26,543,169,,,,,,,,,,
41,5883,182,,,,,,,,,,
55,627,247,,,,,,,,,,
67,696,119,,,,,,,,,,
56,784,149,,,,,,,,,,
53,105,74,,,,,,,,,,
68,4189,897,,,,,,,,,,
31,171,81,,,,,,,,,,
59,42,40,,,,,,,,,,
32,2536,958,,,,,,,,,,
49,1235,354,,,,,,,,,,
42,1811,150,,,,,,,,,,
78,229,97,,,,,,,,,,
32,2089,132,,,,,,,,,,
33,3935,765,,,,,,,,,,
23,363,16,,,,,,,,,,
38,11971,609,,,,,,,,,,
36,553,106,,,,,,,,,,
52,1117,365,,,,,,,,,,
32,396,205,,,,,,,,,,
32,2204,11,,,,,,,,,,
34,872,105,,,,,,,,,,
55,145,59,,,,,,,,,,
26,0,425,,,,,,,,,,
61,4629,181,,,,,,,,,,
45,844,1018,,,,,,,,,,
37,228,1740,,,,,,,,,,
38,50,98,,,,,,,,,,
34,1539,441,,,,,,,,,,
53,2231,272,,,,,,,,,,
48,3064,159,,,,,,,,,,
57,82,140,,,,,,,,,,
33,2155,295,,,,,,,,,,
36,101,314,,,,,,,,,,
54,784,579,,,,,,,,,,
41,-516,554,,,,,,,,,,
63,415,323,,,,,,,,,,
48,5887,227,,,,,,,,,,
48,1355,134,,,,,,,,,,
51,203,134,,,,,,,,,,
31,338,155,,,,,,,,,,
29,444,130,,,,,,,,,,
141,0,630,,,,,,,,,,
32,360,164,,,,,,,,,,
37,0,268,,,,,,,,,,
